emp_no,first_name,last_name,title,from_date,salary
241502,Mitchel,Hainaut,Assistant Engineer,1999-05-26,43481
46221,Weidon,Kobuchi,Assistant Engineer,1993-09-23,51056
498434,Tua,Zaiane,Assistant Engineer,1996-08-18,40000
48542,Kazuhide,Zeilberger,Assistant Engineer,1997-08-04,55488
288004,Saeed,Templeman,Assistant Engineer,1999-07-14,40000
287982,Stepehn,Akaboshi,Assistant Engineer,1999-04-16,41759
235659,Hideyuki,Lanzelotte,Assistant Engineer,1999-12-20,51011
425716,Khatoun,Merro,Assistant Engineer,1998-02-27,40714
453639,Magy,Fujisaki,Assistant Engineer,1997-10-11,40000
253865,Fox,Hedayat,Assistant Engineer,1998-04-29,40000
88628,Guoxiang,Polajnar,Assistant Engineer,1994-02-21,40000
299844,Nalini,Scallan,Assistant Engineer,1996-02-13,40000
214665,Mana,Eickenmeyer,Assistant Engineer,1995-11-18,44406
245886,Frederique,Herath,Assistant Engineer,1999-06-15,49132
33306,Tesuro,Spell,Assistant Engineer,1997-11-18,67855
264280,Mohua,Lienhardt,Assistant Engineer,1998-01-05,59767
450495,Isaac,Boguraev,Assistant Engineer,1996-10-16,59354
276503,Tesuro,Schrooten,Assistant Engineer,1997-02-21,46345
419499,Honesty,Dulin,Assistant Engineer,1997-11-24,40000
263953,Rosli,Oxman,Assistant Engineer,1996-03-11,40000
94030,Masato,Shobatake,Assistant Engineer,1998-07-03,40000
412747,Vishv,Cesareni,Assistant Engineer,1998-04-13,57282
93261,Pintsang,Luca,Assistant Engineer,1999-11-20,44298
107625,Quingbo,Schwabacher,Assistant Engineer,1998-09-09,40000
104092,Abdelaziz,Vitiello,Assistant Engineer,1998-12-27,48196
211238,Supot,Raney,Assistant Engineer,1997-08-31,64512
59824,Xiaoshan,Marwedel,Assistant Engineer,1998-02-06,47939
403459,Georgi,Claffy,Assistant Engineer,1998-02-02,44740
251804,Shir,Akaboshi,Assistant Engineer,1997-02-22,40000
275083,Pranjal,Kopetz,Assistant Engineer,1996-07-07,40000
414844,Genevieve,Stroustrup,Assistant Engineer,1998-10-01,40000
450243,Mayumi,Undy,Assistant Engineer,1997-09-07,89121
234761,Lijia,Borstler,Assistant Engineer,1999-09-02,40000
466531,Sachar,Rindone,Assistant Engineer,1994-04-25,40000
230602,Arnould,Wursthorn,Assistant Engineer,1997-09-27,40000
251683,Maris,Klassen,Assistant Engineer,1998-11-25,44022
286319,Baziley,Quaggetto,Assistant Engineer,1994-04-23,43514
37117,Fumiko,Munoz,Assistant Engineer,1996-01-10,40000
92517,Mamdouh,Suessmith,Assistant Engineer,1994-04-04,40000
262736,Maris,Waschkowski,Assistant Engineer,1996-10-26,49779
246225,Reuven,Birjandi,Assistant Engineer,1997-05-19,47474
15934,Kensyu,Shinomoto,Assistant Engineer,1995-08-20,50454
464937,Fai,Luit,Assistant Engineer,1997-11-05,43713
458690,Yagil,Osgood,Assistant Engineer,1998-03-09,40000
285643,Dulce,Rusterholz,Assistant Engineer,2000-01-07,64562
296047,Mariusz,Schlenzig,Assistant Engineer,1998-10-26,40000
46622,Filipp,Krzyzanowski,Assistant Engineer,1997-07-26,57693
469712,Yolla,Gargeya,Assistant Engineer,1999-12-06,47803
97886,Mario,Chartres,Assistant Engineer,1999-03-08,40000
22833,Alassane,Plessier,Assistant Engineer,1994-11-29,51912
91451,Akeno,Savasere,Assistant Engineer,1995-01-01,40000
423756,Huican,Schlumberger,Assistant Engineer,1997-03-13,40000
25391,Hatsukazu,Billawala,Assistant Engineer,1998-11-15,40000
403085,Halsur,Irland,Assistant Engineer,1998-04-05,40000
227144,Anneli,Beeson,Assistant Engineer,1996-10-02,65909
201150,Chaosheng,Miculan,Assistant Engineer,1993-11-20,69972
65167,Torsten,Borovoy,Assistant Engineer,1999-08-05,65330
457191,Barun,Iacovou,Assistant Engineer,1999-03-24,40000
44285,Keiichiro,Chimia,Assistant Engineer,1995-07-15,40000
474755,Christ,Varker,Assistant Engineer,1999-01-19,40000
65162,Marko,Peot,Assistant Engineer,1995-11-18,40000
18580,Mabo,Bamford,Assistant Engineer,1997-09-18,40000
283306,Kendra,Giaccio,Assistant Engineer,1998-02-28,43867
103424,Geoffrey,Knightly,Assistant Engineer,1998-07-06,40000
249410,Caolyn,Comyn,Assistant Engineer,1998-05-04,46630
499816,Debatosh,Murtagh,Assistant Engineer,1998-02-24,40000
81177,Bodh,Berendt,Assistant Engineer,1998-10-02,68201
229903,Hausi,Callaway,Assistant Engineer,1997-04-27,41972
464155,Sachar,Horswill,Assistant Engineer,1996-10-06,58707
448563,Kensei,Terlouw,Assistant Engineer,1995-11-29,62694
10153,Heekeun,Majewski,Assistant Engineer,2000-01-08,54246
286534,Yonghoan,Eastman,Assistant Engineer,1999-11-30,51086
436442,Mang,Takanami,Assistant Engineer,1999-03-18,62859
498231,Randy,Keirsey,Assistant Engineer,1996-04-04,40000
23691,Satoru,Stille,Assistant Engineer,1999-09-07,60076
262485,Tsvetan,Danecki,Assistant Engineer,1996-05-04,40000
84743,Juichirou,Picaronny,Assistant Engineer,1998-07-30,40000
481712,Vitaly,Jeong,Assistant Engineer,1997-12-17,53611
97724,Jagoda,Pezzoli,Assistant Engineer,1998-10-13,40000
65358,Kshitij,Cooley,Assistant Engineer,1998-11-10,40000
262451,Baoqiu,Pokrovskii,Assistant Engineer,1997-07-01,40000
56229,Pascal,Marakhovsky,Assistant Engineer,1995-01-02,51497
471986,Mads,Ranst,Assistant Engineer,1999-10-30,46126
491008,Kristian,Koblick,Assistant Engineer,1997-07-22,40000
467730,Miyeon,Eldridge,Assistant Engineer,1999-07-09,52180
460859,Duke,Sadowsky,Assistant Engineer,1998-03-13,53052
423876,Amstein,Gustavson,Assistant Engineer,1997-12-11,40000
100927,Troy,Lovengreen,Assistant Engineer,1999-10-03,42027
239539,Shaz,Hedayat,Assistant Engineer,1996-06-02,40000
56159,Zengping,Shumilov,Assistant Engineer,1994-03-22,52527
91227,Spyrose,Bala,Assistant Engineer,1996-08-26,40000
84475,Kien,Erni,Assistant Engineer,1997-03-01,42343
261700,Mamdouh,Gronowski,Assistant Engineer,1999-03-12,40000
21312,Mani,Bahi,Assistant Engineer,1997-07-18,43128
484271,Hauke,Pettey,Assistant Engineer,2000-01-27,59800
76339,Aloys,Ohori,Assistant Engineer,1996-01-13,40000
272104,Paris,Koshino,Assistant Engineer,1995-11-16,57313
104658,Mrinalini,Ratnakar,Assistant Engineer,1994-11-20,52965
62958,Tomofumi,Magliocco,Assistant Engineer,1997-08-02,40000
55861,Alois,Delgrande,Assistant Engineer,1999-10-07,40000
445757,Heeju,Chiola,Assistant Engineer,1998-06-01,75752
271148,Adel,Czaja,Assistant Engineer,1999-05-31,40000
283840,Shuzo,Menyhert,Assistant Engineer,1999-03-16,40000
283821,Jianwen,Schicker,Assistant Engineer,1996-03-13,61276
459673,Tiina,Qiwen,Assistant Engineer,1998-07-30,59420
294590,Haldon,Validov,Assistant Engineer,1997-06-17,54051
36542,Sibyl,Dredge,Assistant Engineer,1998-07-04,40000
293851,Golgen,Callaway,Assistant Engineer,1998-11-04,40000
100333,Kyoichi,Radivojevic,Assistant Engineer,1996-11-27,54918
47849,Gao,Munke,Assistant Engineer,1997-01-04,40000
474996,Saeed,Gelosh,Assistant Engineer,1999-06-05,40000
452837,Muzhong,Garnham,Assistant Engineer,1999-11-08,40360
487163,Przemyslawa,Walstra,Assistant Engineer,1999-08-23,51801
104549,Chaoyi,Sabnani,Assistant Engineer,1999-02-09,53559
200434,Mabry,Boguraev,Assistant Engineer,1998-01-05,43852
19565,Zito,Riesenhuber,Assistant Engineer,1997-10-07,40000
269394,Teiji,Noriega,Assistant Engineer,1998-07-19,40000
436156,Nectarios,Benaini,Assistant Engineer,1999-11-18,60657
36843,Masali,Gopalakrishnan,Assistant Engineer,1996-01-26,66556
402225,Tsutomu,Jiang,Assistant Engineer,1999-01-01,44239
203286,Hisao,Ginesta,Assistant Engineer,1993-08-03,40000
488667,Mayumi,Basagni,Assistant Engineer,1998-01-05,47281
94710,Anneke,Schrooten,Assistant Engineer,1999-01-01,79794
83436,Ult,Serdy,Assistant Engineer,1999-09-07,53451
486879,Duangkaew,Ligten,Assistant Engineer,1995-11-02,55040
15392,Pradeep,Markovitch,Assistant Engineer,1994-07-04,55638
411149,Mads,Matzke,Assistant Engineer,1998-05-14,77952
83375,Anestis,Kenevan,Assistant Engineer,1998-05-19,42336
17869,Xiaocheng,Prochazka,Assistant Engineer,1995-07-01,40000
478939,Tommaso,Riefers,Assistant Engineer,1998-10-12,57443
408023,Jovan,Henders,Assistant Engineer,1996-12-17,47025
60354,Shakhar,Plesums,Assistant Engineer,1998-03-07,40000
425652,Tran,Birrer,Assistant Engineer,1998-08-02,48318
462470,Satyanarayana,Worfolk,Assistant Engineer,1997-12-09,50319
418096,Teruyuki,Montresor,Assistant Engineer,1998-09-27,40000
86561,Thodoros,Frolund,Assistant Engineer,1993-08-16,42797
243815,Zengping,Improta,Assistant Engineer,1996-04-04,46326
94293,Susuma,Qiwen,Assistant Engineer,1998-03-09,40000
86217,Mari,Asrin,Assistant Engineer,1999-03-20,55211
408006,Hinrich,Gniady,Assistant Engineer,1998-01-16,44289
99567,Christfried,Oberman,Assistant Engineer,1996-06-01,69068
471664,Breannda,Bharadwaj,Assistant Engineer,1996-08-05,50014
17068,Bodh,Gopalakrishnan,Assistant Engineer,1994-09-01,40000
235790,Shigehiro,Hofting,Assistant Engineer,1999-05-03,44937
20624,Xiong,Nanard,Assistant Engineer,1997-05-24,42597
25656,Eben,Narwekar,Assistant Engineer,1998-05-20,40000
498684,Olivera,Argence,Assistant Engineer,1998-08-29,51406
266349,Foong,Stille,Assistant Engineer,1998-12-06,44242
417828,Marjo,Besancenot,Assistant Engineer,1998-08-13,40000
255795,Sashi,Godskesen,Assistant Engineer,1997-06-24,40000
494166,Marit,Khalid,Assistant Engineer,1998-10-02,40000
249094,Subhrajyoti,Siepmann,Assistant Engineer,1998-09-02,64641
18866,Fumiyo,Hettesheimer,Assistant Engineer,1997-04-10,56470
297728,Toshimitsu,Woycyznski,Assistant Engineer,1995-06-01,49056
255157,Saeed,Zlotek,Assistant Engineer,1998-10-28,40000
237663,Junsik,Onuegbe,Assistant Engineer,1997-12-24,65958
205057,Mostafa,Usdin,Assistant Engineer,1999-07-03,40000
420597,Ferdinand,Bamford,Assistant Engineer,1994-09-29,40000
406853,Sachio,Couchot,Assistant Engineer,1994-11-18,46733
55068,Kyoichi,Wielonsky,Assistant Engineer,1999-03-03,63460
264952,Jahangir,Narlikar,Assistant Engineer,1995-08-08,53731
241126,Masamitsu,Francisci,Assistant Engineer,1999-06-22,87358
214446,Barry,Mersereau,Assistant Engineer,1998-08-17,71698
106340,Giordano,Plotkin,Assistant Engineer,1994-09-04,53526
25254,Matt,Peek,Assistant Engineer,1994-07-30,61383
98854,Kotesh,Garrabrants,Assistant Engineer,1995-07-03,43094
58227,Armond,Bierbaum,Assistant Engineer,1997-04-18,40000
451098,Pragnesh,Fujisaki,Assistant Engineer,1997-08-28,50853
287608,Eberhardt,Picco,Assistant Engineer,2000-01-17,40000
238372,Yuriy,Harbusch,Assistant Engineer,1995-08-02,40000
251541,Jessie,Leivant,Assistant Engineer,1999-06-19,58690
31290,Masoud,Coullard,Assistant Engineer,1997-07-27,40000
251493,Lein,Rosen,Assistant Engineer,1998-06-20,71366
85645,Henk,Ashish,Assistant Engineer,1994-12-11,61130
431666,Gregory,Sluis,Assistant Engineer,1999-06-23,40000
40489,Yongmao,Bugrara,Assistant Engineer,1996-10-02,40829
276344,Mana,Vieri,Assistant Engineer,1998-04-24,40000
243128,Zhonghua,Papadias,Assistant Engineer,1996-05-18,53946
419884,Heejo,Dichev,Assistant Engineer,1999-07-25,48985
455395,Amstein,Kalorkoti,Assistant Engineer,1997-09-03,51028
478771,Rasiah,Beznosov,Assistant Engineer,1995-12-27,47719
225277,Hercules,Harbusch,Assistant Engineer,1998-05-12,40000
72434,Snehasis,Lueh,Assistant Engineer,1994-09-29,40000
230898,Charlene,Vitiello,Assistant Engineer,1997-02-22,65686
66991,Khoa,Ranum,Assistant Engineer,1996-08-27,51285
37716,Gill,Hutton,Assistant Engineer,1998-02-16,40000
460897,Fei,Krohn,Assistant Engineer,1998-01-22,40000
40853,Terresa,Guardalben,Assistant Engineer,1996-12-11,40000
495277,Shaunak,Dalphin,Assistant Engineer,1999-10-10,40000
22216,Thodoros,Cooley,Assistant Engineer,1998-10-04,64616
204337,Brewster,Erol,Assistant Engineer,1998-10-22,40000
213670,Fei,Dolinsky,Assistant Engineer,1997-04-26,40000
212168,Licheng,Rathonyi,Assistant Engineer,1996-12-05,46555
467017,Kolar,Gente,Assistant Engineer,1999-07-20,40000
22961,Hirochika,Masamoto,Engineer,1993-08-24,44463
40486,Leen,Kopetz,Engineer,1997-10-03,56273
437892,Sushant,Lampe,Engineer,1998-11-26,70452
230121,Zhonghui,Kornatzky,Engineer,1996-07-31,53003
230084,Ishfaq,Qiwen,Engineer,1994-08-09,48864
229549,Ekawit,DasSarma,Engineer,1997-12-13,40000
40520,Danny,Gajiwala,Engineer,1999-10-16,66529
229480,Franziska,Passafiume,Engineer,1994-10-12,40000
228853,Mayumi,Basawa,Engineer,1999-11-04,41588
228823,Mayuko,Gimbel,Engineer,1999-05-11,46925
228122,Sugwoo,Kaltofen,Engineer,1999-10-26,40000
228023,Hidefumi,Denna,Engineer,1995-12-22,46717
227801,Valery,Brobst,Engineer,2001-06-05,58111
227048,Arco,Cincotta,Engineer,1997-07-14,46956
226993,Thanasis,Peot,Engineer,1996-01-06,48229
475692,Inderjeet,Crabtree,Engineer,1995-11-08,50693
437632,Zvonko,Gyorkos,Engineer,1993-10-14,40000
475670,Hitomi,Billawala,Engineer,1996-09-10,56363
23007,Hyuckchul,Spell,Engineer,1997-07-21,63693
226987,Arif,Delgrossi,Engineer,2002-04-25,55209
226954,Shushma,Pietrzykowski,Engineer,1999-10-16,42442
23011,Suzette,Ferretti,Engineer,1999-09-02,50445
226886,Divine,Bojadziev,Engineer,1995-07-27,70459
496867,Rosine,Orsini,Engineer,1994-09-29,47553
226681,Persi,Coullard,Engineer,2000-01-10,59351
226661,Kannan,Rosenbaum,Engineer,1999-07-21,40000
225770,Visit,Khasidashvili,Engineer,1994-03-29,61565
23026,Junichi,Lortz,Engineer,2001-10-03,52693
23034,Josyula,Rosca,Engineer,2000-01-14,40000
23049,Zhenbing,Gurbaxani,Engineer,1997-06-03,40000
225711,Vasiliy,Steinauer,Engineer,1995-11-19,46542
41274,Mari,Giveon,Engineer,1995-01-18,47643
225654,Rosita,Riexinger,Engineer,1997-05-01,40000
41283,KayLiang,Tetzlaff,Engineer,1994-05-26,52746
437614,Minghong,Hoogerwoord,Engineer,1996-11-07,46805
225315,Piyawadee,Choobineh,Engineer,2001-03-25,41223
437266,Mack,Biran,Engineer,1995-06-14,43824
436893,Duro,Perko,Engineer,1996-08-03,48706
41319,Mototsugu,Unni,Engineer,1999-02-28,62785
224988,Claude,Steinauer,Engineer,1997-10-22,40000
224973,Steve,Gire,Engineer,1996-01-19,40000
475385,Yunming,Anger,Engineer,1996-04-27,40000
224942,Dayanand,Swab,Engineer,1995-12-13,57813
23086,Nathan,Lemarechal,Engineer,1998-05-22,40000
224582,Xudong,Ruemmler,Engineer,1999-02-20,46302
436515,Djenana,Krone,Engineer,1998-05-26,40000
224497,Yechiam,Range,Engineer,1999-04-11,50332
224214,Alassane,Mateescu,Engineer,1995-12-03,40000
41441,Pasqua,Shigei,Engineer,1998-05-27,40000
223870,Youssef,Kobara,Engineer,1997-03-19,40000
223850,Mamdouh,Rossi,Engineer,1995-03-13,58632
475351,Barna,Garigliano,Engineer,1995-03-01,40000
23104,Tadanori,Anido,Engineer,1999-05-26,40000
223413,Jingling,Gist,Engineer,1994-04-15,50239
223399,Aamer,Radivojevic,Engineer,1999-11-07,45792
223384,Rimon,Khalil,Engineer,1999-04-05,40000
223382,Zito,Beilner,Engineer,1996-09-22,50193
223152,Kshitij,Conry,Engineer,1996-10-17,46174
436218,Gladys,Bergere,Engineer,1996-07-01,40000
41746,Zita,Greenaway,Engineer,2000-01-09,40493
15452,Kazuhira,Weedman,Engineer,1995-05-11,40000
223140,Horward,Vadhan,Engineer,1996-04-19,52782
41767,Leszek,Thiran,Engineer,1999-08-14,56500
223009,Xinan,Codenie,Engineer,1999-09-01,40000
475348,Kazunori,Merkl,Engineer,1997-10-05,56863
222643,Shounak,Landherr,Engineer,1997-03-12,46572
222359,Kristen,Murtafg,Engineer,1999-10-17,47481
222295,Maha,Ermel,Engineer,1995-08-10,55594
222067,Gift,Gaughan,Engineer,1997-07-24,40000
221989,Jiakeng,Terekhov,Engineer,1998-02-06,40000
15470,Weiwu,Huhdanpaa,Engineer,1996-08-08,40693
221487,Rutger,Kambil,Engineer,1995-01-12,40000
221142,Marin,Kambil,Engineer,1999-05-04,53221
220756,Krister,Billingsley,Engineer,1994-08-06,44476
436050,Christophe,Emiris,Engineer,1997-03-07,41179
220667,Turgut,Lyonns,Engineer,1999-11-17,55723
42059,Jianhui,Czap,Engineer,1997-05-02,60089
435533,Stein,Giarratana,Engineer,1999-01-06,86844
220624,Lakshmi,Marakhovsky,Engineer,1996-04-20,58001
220271,Hideo,Motley,Engineer,1997-09-15,56301
220238,Luise,Stille,Engineer,1998-09-04,43563
219870,Leif,Kushner,Engineer,1999-02-11,61421
219650,Gennady,Willoner,Engineer,1995-08-08,40000
219646,Huai,Reghbati,Engineer,1999-09-14,45872
219568,Shunichi,Osgood,Engineer,1998-04-22,42276
435199,Pranay,Butterworth,Engineer,1995-11-24,51720
435135,Anoosh,Keirsey,Engineer,1998-09-27,56825
42174,Vishv,Schahn,Engineer,1998-07-18,40000
42181,Eldridge,Tiemann,Engineer,1998-12-04,50280
42184,Prasadram,Kusalik,Engineer,1998-02-10,61968
42185,Renee,Kaminger,Engineer,1996-01-01,41027
42188,Ravishankar,Niizuma,Engineer,1996-11-27,51942
219219,Maya,Gerlach,Engineer,2001-01-20,40000
219152,Kristen,Pouyioutas,Engineer,1994-03-23,76409
434824,Randy,Goodrum,Engineer,1993-09-14,58694
434792,Wojceich,Veevers,Engineer,1998-07-14,45687
42410,Marjo,Falster,Engineer,2000-01-09,40000
218655,Kiyotoshi,Lakshmanan,Engineer,1998-02-10,55401
42424,Adin,Picco,Engineer,1998-09-16,40000
218593,Arunas,Lamba,Engineer,1999-04-08,57787
218580,Kwee,Speek,Engineer,2000-01-23,40000
218574,Shiv,Sessa,Engineer,1997-03-23,56631
475327,Arve,Sommer,Engineer,1997-06-18,40000
434770,Aluzio,Mamelak,Engineer,1995-06-10,40000
499516,Goncalo,Kampfer,Engineer,1997-11-22,64990
218195,Niteen,Poujol,Engineer,1996-11-23,69549
218189,Vishv,Rindone,Engineer,1998-08-23,64144
434762,Shaibal,Dalphin,Engineer,1995-06-03,42295
218128,Saeed,Bierbaum,Engineer,1996-11-20,49705
434760,Fumitake,Gill,Engineer,1998-05-31,40000
492107,Mart,Kitsuregawa,Engineer,2000-01-24,42171
23442,Vesna,Rindone,Engineer,1996-12-30,40000
15504,Kasturi,Alpin,Engineer,1997-02-06,40000
434534,Marla,Naudin,Engineer,1999-08-21,40000
217775,Becky,Pusterhofer,Engineer,1996-02-17,40000
217764,Ingmar,Massonet,Engineer,1999-10-18,40000
434505,Jianhua,Fritzsche,Engineer,1999-04-17,40000
217753,Maria,Birge,Engineer,1995-12-12,42519
491807,Halsur,Tchuente,Engineer,1995-11-23,60821
217699,Khue,Vesna,Engineer,1998-07-11,40000
217642,Nectarios,Lieberherr,Engineer,1996-02-08,45507
42821,Xumin,Anily,Engineer,1998-07-11,64939
491785,Tianruo,Peris,Engineer,1999-07-10,40000
434033,Sedat,Itzfeldt,Engineer,1996-11-25,40000
216789,Eben,Ghemri,Engineer,1997-11-07,56045
433754,Leon,Sommen,Engineer,1998-01-18,41907
433696,Prasadram,Fargier,Engineer,1998-02-08,48710
433350,Pasqua,Danner,Engineer,1999-09-07,41407
216750,Charmane,Farris,Engineer,1998-02-03,40838
496819,Rosita,McFarlin,Engineer,1997-11-30,40000
491486,Amabile,Antonisse,Engineer,1994-09-11,73745
216468,Gila,Cronan,Engineer,1999-06-29,63596
42929,Sven,Hegner,Engineer,1999-08-31,40000
433022,Hinrich,Yetim,Engineer,1999-05-18,62371
43132,Pramod,Zumaque,Engineer,2000-01-13,46069
433020,Adas,Rahimi,Engineer,1998-09-10,40000
216415,Gererd,Vadhan,Engineer,1994-06-22,56965
432973,Zissis,Maccarone,Engineer,1997-06-11,58229
474439,Genta,Bauknecht,Engineer,2000-10-17,40000
432906,Filipe,Streng,Engineer,1996-01-27,61849
216389,Garnik,Naudin,Engineer,1999-11-27,49848
432683,Gina,Nishimukai,Engineer,1994-05-13,40000
215680,Lokesh,Billingsley,Engineer,1997-08-24,40000
43203,Chuanyi,Androutsos,Engineer,1999-06-26,57858
215310,Sampalli,Dalton,Engineer,2001-08-25,40000
432653,Nevin,Skrikant,Engineer,1999-11-21,51254
215291,Haldun,Raoux,Engineer,2000-11-11,50804
214768,Yakichi,Guardalben,Engineer,1998-11-06,53861
214681,Edwin,Dulli,Engineer,1997-11-22,50591
214445,Shaw,Decleir,Engineer,1994-04-28,40000
432630,Heejo,Luef,Engineer,1998-07-15,40000
10282,Hercules,Benzmuller,Engineer,2001-05-02,40000
214376,Jingling,Krogh,Engineer,1994-01-08,40000
23824,Maris,Porotnikoff,Engineer,1999-09-16,40000
213736,Selwyn,Reistad,Engineer,1997-02-03,40000
432578,Danco,Khalid,Engineer,1994-06-18,73361
432545,Chikako,Tanemo,Engineer,1999-12-17,43040
213631,Yongmin,Beilner,Engineer,1996-01-11,69987
23840,Thanasis,Polupanov,Engineer,2000-07-06,43469
11137,Hugh,Luca,Engineer,1995-03-16,40000
213592,Kwok,Schaaf,Engineer,1995-05-19,45064
213357,Collette,Businaro,Engineer,1997-07-07,42262
213001,Pragnesh,Cummings,Engineer,1998-07-12,40000
43783,Houman,Hmelo,Engineer,1998-01-07,50026
212992,Xiong,Ferretti,Engineer,1995-01-14,46681
212989,Kasturi,Billawala,Engineer,1999-07-17,64210
212950,Udi,Schiettecatte,Engineer,1996-01-04,48767
212940,Nahid,Syrzycki,Engineer,1999-12-12,40000
432534,Eran,Zeilberger,Engineer,1996-06-12,49722
15739,Poorav,Bahr,Engineer,1999-03-02,54605
212880,Sreekrishna,Hofting,Engineer,1997-09-07,45936
432324,True,Fiebach,Engineer,1999-06-06,40000
212205,Golgen,Mungall,Engineer,1995-10-09,40616
432298,Xiaopeng,Sankaranarayanan,Engineer,1999-04-05,59177
23869,Raimond,Stiles,Engineer,1999-12-14,40000
211859,Gill,Krybus,Engineer,1996-11-07,42358
211854,Eishiro,Rosar,Engineer,1997-07-15,40000
211822,Duangkaew,Ellozy,Engineer,1995-07-04,52074
474386,Collette,Ohori,Engineer,2002-07-23,44880
211151,Gaetan,Hertweck,Engineer,1998-03-24,51895
210772,Kotesh,Penttonen,Engineer,1998-05-16,48814
44164,Becky,McClure,Engineer,1997-05-09,40000
210638,Xianlong,Bach,Engineer,1995-02-02,45958
210230,Chikako,Bage,Engineer,1998-11-12,40000
431731,Jianhao,Ermel,Engineer,2002-04-05,54343
44189,Shaibal,Mitzlaff,Engineer,1997-01-27,59748
491391,Yakichi,Zolotykh,Engineer,1994-10-18,45473
210180,Jianhua,Vural,Engineer,2000-05-30,44234
24108,Shaz,Kushnir,Engineer,1995-09-10,44261
209828,Vatsa,Brender,Engineer,1997-11-18,40000
209777,Ravishankar,Condotta,Engineer,1999-01-21,43700
209717,Thanasis,Mellouli,Engineer,1999-03-04,40000
431337,Niteen,Hasenauer,Engineer,1994-11-19,65587
209005,Kazunori,Iivonen,Engineer,1999-09-12,71571
208685,Lokesh,Morris,Engineer,1999-04-12,75255
208258,Nathalie,Remmers,Engineer,1995-08-13,57364
