emp_no,title,first_name,last_name,from_date
12099,Senior Staff,Nobuyoshi,Kuzuoka,1999-02-15
12112,Senior Staff,Satyanarayana,Avouris,1997-09-26
12122,Senior Engineer,Satoru,Krone,1992-07-23
12123,Senior Staff,Xiahua,Syrzycki,1994-07-18
12125,Engineer,Shounak,Erman,1997-03-31
12149,Senior Staff,Suebskul,Grandbois,1988-10-01
12159,Senior Engineer,Shem,Perly,1985-07-17
12165,Senior Engineer,Xiaobin,Maquelin,1994-08-29
12183,Engineer,Harngdar,Iisaku,1998-04-04
12192,Senior Engineer,Feiyu,Klyachko,1991-09-02
12205,Senior Engineer,Sushant,Rossi,1987-11-11
12206,Senior Engineer,Barton,Janetzko,2001-03-27
12218,Senior Engineer,Yaghout,Strooper,2000-03-11
12221,Senior Engineer,Vincent,Melter,1991-09-16
12222,Senior Staff,Abdelwaheb,Holburn,1996-08-14
12223,Senior Engineer,Niteen,Koyama,1995-08-13
12247,Technique Leader,Subbu,Penttonen,1985-04-09
12249,Senior Engineer,Eldridge,Sadowski,1996-06-20
12256,Senior Staff,Guadalupe,Reghbati,1992-08-26
12264,Engineer,Mart,Pagter,1998-01-09
12270,Senior Staff,Shakhar,Kornyak,1996-08-19
12272,Senior Staff,Behnaam,Grandbois,1992-12-07
12308,Senior Staff,Mototsugu,Cronau,1991-08-11
12311,Senior Engineer,Susanne,Lubachevsky,1985-10-22
12327,Senior Engineer,DAIDA,Bruckman,1992-10-15
12341,Senior Engineer,Rasiah,Luga,1990-05-25
12343,Senior Staff,Sorina,Slaats,1997-08-25
12365,Senior Engineer,Kamakshi,Bisiani,1994-09-12
12373,Senior Staff,Mooi,Driscoll,1993-11-11
12395,Senior Staff,Sanjit,Felder,1995-06-05
12399,Senior Staff,Mihalis,Luga,1996-12-06
12411,Senior Staff,Shao,Ibel,1991-08-17
12413,Senior Engineer,Hugh,Gadepally,1999-03-04
12417,Senior Engineer,Dannz,Spelt,1998-02-02
12422,Senior Staff,Berhard,Demos,2001-06-07
12454,Staff,Kerryn,Farris,1998-12-18
12464,Staff,Shai,Milicic,1998-06-01
12475,Senior Engineer,Filipe,Roison,1996-04-25
12487,Senior Staff,Mona,Reghbati,1998-12-07
12489,Senior Engineer,Arnould,Munck,1986-04-11
12490,Senior Engineer,Jackson,Muchinsky,2000-05-08
12497,Senior Staff,Stein,Penz,1997-09-25
12501,Senior Staff,Morrie,Matheson,1986-06-05
12504,Engineer,Adly,Rosaz,1997-08-14
12514,Engineer,Tomofumi,Melter,1999-11-13
12528,Senior Staff,Conor,Cincotta,1997-09-24
12534,Senior Engineer,Yongmao,Gerlach,1985-08-14
12541,Senior Staff,Shih,Nanard,1996-08-31
12542,Senior Staff,Kazuhide,Bouloucos,1993-09-11
12551,Senior Engineer,Jeane,Tzvieli,1993-12-03
12553,Senior Staff,Aral,Vesna,1987-02-28
12557,Senior Engineer,Stafford,Kopetz,1988-03-20
12589,Senior Engineer,Anoosh,Chleq,1997-09-08
12596,Senior Staff,Breannda,Roisin,1996-09-29
12601,Senior Engineer,Ghassan,Simkin,2002-07-09
12608,Senior Staff,Nectarios,Mondadori,2000-02-22
12635,Senior Engineer,Xinyu,Restivo,2000-02-03
12638,Engineer,Yuqun,Seiwald,1999-04-29
12642,Senior Staff,Suebskul,Gips,2001-10-28
12651,Senior Staff,Pragnesh,Bael,1988-01-27
12662,Engineer,Leucio,Alvarado,1994-08-27
12663,Technique Leader,Nobuyoshi,Stellhorn,1986-09-29
12664,Staff,Zhonghua,Parveen,1999-08-04
12689,Senior Engineer,Luerbio,Boudaillier,2001-11-23
12691,Senior Engineer,Oddvar,Gils,1998-08-25
12697,Senior Staff,Uri,Brizzi,1994-07-11
12709,Senior Engineer,Ronghao,Botman,2001-02-25
12717,Staff,Tzu,Jiafu,1999-10-20
12722,Senior Staff,Elliott,Cheshire,1985-03-29
12726,Senior Engineer,Fumitake,Panwar,1994-05-19
12729,Senior Engineer,Nahla,Rahier,1997-10-15
12731,Senior Staff,Yongmao,Waymire,1988-04-05
12732,Senior Staff,Mara,Takanami,1988-04-06
12734,Senior Engineer,Gil,Frijda,1986-03-03
12755,Senior Staff,Rildo,Rodite,1994-03-18
12773,Senior Engineer,Jenwei,Lovengreen,1994-03-05
12790,Senior Staff,Gunilla,Perl,2000-08-07
12795,Senior Staff,Masoud,Fordan,1997-06-23
12798,Senior Staff,Lillian,Beeson,1996-12-26
12803,Senior Staff,Gad,Boissier,1990-03-16
12815,Senior Staff,Sushant,Junot,1993-02-27
12819,Senior Engineer,Mountaz,Gubsky,1996-09-09
12848,Engineer,Kazuhide,Smeets,1997-05-11
12863,Senior Engineer,Leif,Matheson,1990-09-06
12872,Senior Staff,Marl,Schmittgen,1993-09-09
12879,Senior Engineer,Baruch,Eugenio,1995-06-11
12890,Senior Staff,Neven,Casley,1985-10-31
12893,Senior Staff,Licheng,Crouzet,1995-03-18
12895,Senior Engineer,Roddy,Serot,1993-08-15
12905,Senior Engineer,Munehiro,Gecsei,1993-07-18
12926,Senior Staff,Heekeun,Luby,1992-12-24
12940,Senior Engineer,Odinaldo,Farrar,1992-12-11
12941,Senior Engineer,Tommaso,Perelgut,1995-11-06
12949,Senior Engineer,Geoff,Asrin,1992-02-12
12977,Senior Engineer,Byong,Markovitch,1992-08-23
12983,Staff,Elliott,Hambrick,1999-06-28
13030,Senior Staff,Yahiko,Kroll,1999-11-25
13046,Senior Staff,Vivian,Stafford,1987-04-19
13047,Senior Engineer,Atilio,Chelton,1997-02-25
13075,Senior Staff,Rosella,Morrin,1991-08-17
13076,Engineer,Deniz,Skafidas,1995-01-28
13096,Senior Engineer,Ibibia,Armand,2001-04-22
13103,Senior Engineer,Srinidhi,Ellozy,1988-06-19
13124,Senior Staff,Quingbo,Garnick,1985-03-17
13133,Senior Staff,Guther,Senzako,1991-09-03
13134,Senior Engineer,Lorien,Chepyzhov,1993-10-22
13144,Senior Staff,Persi,Nollmann,1997-06-19
13146,Senior Staff,Haldon,Erie,1985-05-25
13147,Senior Staff,Shichao,Ginesta,1998-06-29
13156,Senior Engineer,Akeel,Millington,2000-08-18
13165,Senior Engineer,Lucian,Benner,1995-03-17
13168,Senior Engineer,Munir,Stentiford,1992-09-10
13170,Senior Staff,Cheong,Bernardeschi,1998-01-09
13171,Senior Engineer,Anoosh,Birnbaum,1995-08-31
13173,Senior Staff,Arve,Horswill,1996-09-23
13179,Staff,Moty,Janocha,1999-02-19
13182,Engineer,Kokou,Rodite,1999-03-03
13186,Senior Staff,Kyoichi,Barbanera,1995-04-29
13192,Technique Leader,Rosita,Flowers,1993-02-01
13202,Senior Staff,Aram,Scharstein,1992-03-28
13210,Senior Staff,Jianhua,Klassen,2002-07-27
13213,Senior Staff,Hein,Billawala,1993-08-30
13232,Technique Leader,Mitchel,Fujisaki,1986-06-02
13233,Senior Engineer,Alselm,Chvatal,1995-03-31
13238,Senior Staff,Ebru,Foote,1998-10-10
13240,Senior Engineer,King,Pileggi,2001-03-10
13250,Senior Engineer,Zeydy,Schusler,1998-10-27
13272,Senior Staff,Arun,Jiang,1985-03-10
13276,Senior Staff,Yechiam,Seuren,1991-03-09
13288,Senior Staff,Muneo,Broomell,1995-04-14
13291,Senior Engineer,Georg,Stamatiou,1993-10-30
13302,Senior Engineer,Mack,Alencar,1997-09-26
13315,Senior Engineer,Sakthirel,Stroustrup,1999-06-02
13332,Senior Engineer,Nidapan,Pearson,1997-09-23
13333,Engineer,Yoshinari,Hennebert,1996-03-23
13341,Senior Staff,Bodh,Doering,1992-03-10
13343,Senior Staff,Heon,Usery,1995-07-30
13368,Staff,Kiyokazu,Klassen,1997-09-30
13371,Senior Engineer,Nakhoon,Riexinger,1991-12-13
13373,Senior Staff,Juichirou,Naumovich,2000-08-23
13385,Senior Staff,Claudi,Buchter,1986-06-10
13386,Technique Leader,Khosrow,Sgarro,1986-02-23
13389,Senior Staff,Divine,Cmelik,1988-03-23
13392,Senior Staff,Fumitake,Beidas,1993-08-26
13396,Senior Staff,Chuanyi,Aumann,1994-03-29
13402,Engineer,Augustine,Dulli,1999-09-12
13405,Senior Staff,Randy,Baba,1990-05-10
13407,Senior Engineer,Gio,Chenoweth,2001-10-03
13408,Senior Engineer,Sreekrishna,Lagarias,2000-07-24
13415,Technique Leader,Nathalie,Speer,1991-04-25
13422,Senior Engineer,Vishwani,Gerlach,1995-01-17
13442,Senior Staff,Giordano,Miake,1994-06-16
13443,Senior Engineer,Mayuko,Puppo,1996-12-25
13445,Engineer,Renee,Dehkordi,1996-11-29
13451,Senior Staff,Gretta,Weiland,1995-08-23
13457,Senior Engineer,Shooichi,Parfitt,1991-01-18
13458,Senior Engineer,Feipei,Nivat,1995-03-02
13463,Senior Engineer,Theron,Berstel,1993-01-25
13465,Engineer,Sasan,Rehfuss,1999-03-12
13493,Senior Engineer,Uinam,Jullig,1992-09-06
13504,Engineer,Parto,Mandell,1994-12-21
13524,Senior Staff,Chaoyi,Porotnikoff,2000-10-27
13535,Senior Engineer,Arunas,Schlenzig,2000-05-19
13546,Senior Engineer,Aimee,Brookner,1997-10-26
13549,Technique Leader,Matk,Koprowski,1997-06-18
13552,Senior Staff,Ingmar,Capobianchi,1993-03-23
13576,Senior Staff,Jungsoon,Engberts,2001-08-29
13605,Senior Staff,Dmitry,Encarnacion,1991-09-29
13621,Engineer,Fei,Haddadi,1995-02-09
13624,Senior Staff,Zhigen,Yurek,1996-05-11
13629,Senior Engineer,Dzung,Trelles,1994-01-03
13648,Technique Leader,Zejun,Lamba,1985-11-16
13653,Senior Staff,Kristen,Iivonen,2000-01-17
13670,Senior Engineer,Moti,Takanami,1988-06-30
13680,Staff,Denny,Speer,1996-02-05
13685,Senior Engineer,Weicheng,Hockney,1999-11-29
13697,Technique Leader,Shuichi,Weedon,1985-06-20
13704,Senior Engineer,Vishu,Kumaresan,1995-10-01
13721,Senior Staff,Sugwoo,Delgrossi,2001-09-20
13727,Staff,Vitali,Merey,1999-10-07
13738,Engineer,Bangqing,Mitchem,1998-06-30
13766,Senior Staff,Tremaine,Heemskerk,1986-08-18
13769,Senior Staff,Yakichi,Trogemann,1988-10-18
13775,Senior Staff,Arve,Maierhofer,1994-10-21
13786,Senior Staff,Takushi,Berendt,1995-05-19
13787,Senior Engineer,Xiaobin,Sinicrope,1996-10-29
13792,Senior Staff,Valery,Sury,1991-07-27
13796,Engineer,Paloma,Thorelli,1996-01-01
13809,Senior Staff,Kiyotoshi,Basagni,1991-01-12
13815,Senior Engineer,Guadalupe,Plotkin,1993-09-09
13825,Technique Leader,Arlette,Pell,1986-08-02
13841,Technique Leader,Christophe,Spinelli,1992-02-01
13842,Senior Staff,Juichirou,Cichocki,2000-04-20
13846,Senior Staff,Guiseppe,Welham,1985-03-20
13853,Senior Staff,Mingsen,Roohalamini,1991-03-25
13859,Senior Engineer,Anoosh,Fujisawa,1992-08-22
13884,Engineer,Kensei,Swift,1998-12-21
13894,Engineer,Ult,Schonegge,1995-11-28
13904,Senior Engineer,Youngkon,Cairo,1987-09-03
13934,Senior Engineer,Shiv,Bratsberg,1990-04-05
13942,Technique Leader,Elzbieta,Esteva,1997-10-13
13951,Senior Staff,Mooi,Genther,1990-12-28
13960,Senior Staff,Nechama,Hettesheimer,1996-04-06
13962,Senior Engineer,Maris,Ghelli,1994-10-26
13966,Senior Staff,Boguslaw,Cooman,1990-12-26
13969,Technique Leader,Jianwen,Chandrasekhar,1985-05-29
13990,Engineer,Deborah,Schapiro,1996-06-10
13992,Senior Staff,Ulises,Kenevan,1994-07-27
13999,Senior Staff,Florian,Crouzet,2000-02-25
14005,Technique Leader,Vojin,Stellhorn,1985-05-10
14015,Senior Engineer,Manibrata,Picaronny,1997-08-15
14034,Senior Staff,Aloys,Seghrouchni,1991-08-26
14041,Senior Staff,Shan,DeMori,1995-12-22
14067,Senior Engineer,Godehard,Trachtenberg,2000-02-14
14088,Senior Staff,Mori,Leslie,1994-11-10
14107,Senior Staff,Xiahua,Rindone,1999-12-15
14111,Senior Staff,Leszek,Cummings,1999-09-26
14118,Senior Staff,Kasturi,Anido,1985-04-06
14167,Senior Engineer,Adas,Hertweck,1994-12-01
14191,Senior Engineer,Jiann,Luby,1993-01-15
14209,Senior Staff,Masanao,Kusakabe,1988-04-06
14220,Senior Engineer,Tomofumi,Pargas,1987-12-02
14232,Senior Engineer,Masali,Bojadziev,1999-09-10
14236,Senior Staff,Xuedong,Angiulli,1988-11-07
14237,Senior Engineer,Abdulla,Gerlach,1994-06-13
14242,Senior Staff,Sudhanshu,Benaini,1992-06-27
14257,Staff,Kwok,Massonet,1998-02-04
14290,Senior Engineer,Miyeon,Olivero,1992-03-29
14292,Senior Staff,Susanna,Vigier,1997-02-18
14298,Senior Engineer,Chriss,Granlund,2001-01-06
14310,Senior Staff,Marlo,Leuchs,1987-02-23
14320,Senior Engineer,Sreenivas,Schaar,1992-06-29
14322,Engineer,Shem,Kakkad,1999-11-19
14323,Staff,Golgen,Leslie,1997-08-05
14340,Senior Engineer,Vitaly,Wixon,1995-12-19
14344,Technique Leader,Otilia,Buescher,1988-12-16
14354,Senior Staff,Mong,Bojadziev,1990-08-28
14360,Senior Staff,Janche,Erbe,1997-08-01
14372,Engineer,Saniya,Srimani,1999-12-26
14384,Technique Leader,Tomofumi,Holburn,1988-02-13
14422,Senior Engineer,Toshimo,Gadepally,1990-10-20
14434,Technique Leader,Elvis,Maginnis,1989-09-21
14439,Senior Engineer,Raimond,Woycyznski,1994-11-01
14460,Senior Engineer,Yagil,Lueh,1995-01-23
14478,Senior Staff,Munehiro,Boissier,1992-06-28
14481,Senior Engineer,Moti,Lammel,1993-08-24
14483,Senior Engineer,Supot,Marrevee,1986-01-30
14486,Senior Engineer,Indrajit,Birdsall,1999-08-12
14498,Senior Staff,Xiong,Selenyi,1994-10-17
14501,Technique Leader,Taizo,Kroft,1991-11-20
14509,Senior Staff,Danil,Aloia,2001-12-16
14513,Senior Staff,Samphel,Barreiro,1985-07-28
14515,Senior Engineer,Kazuhisa,Versino,1996-02-19
14516,Senior Staff,Kristian,Underwood,1989-04-08
14518,Engineer,Patricia,Peir,1996-02-18
14522,Senior Staff,Chuanyi,Ranta,1990-01-14
14537,Senior Engineer,Babette,Engelmann,1994-03-17
14552,Senior Engineer,Ibibia,Snyers,1999-06-13
14556,Engineer,Fatemeh,Zultner,1994-12-26
14560,Senior Engineer,Elrique,Driscoll,1993-05-21
14581,Senior Engineer,Gao,Condotta,1996-06-28
14582,Senior Engineer,Kiyokazu,Morrin,1999-04-08
14600,Senior Staff,Jayson,Cairo,1988-10-24
14603,Senior Engineer,Lech,Marquardt,1993-01-19
14607,Staff,Suzette,Selvestrel,1994-06-26
14620,Senior Engineer,Jianhua,Erev,1993-08-04
14621,Senior Staff,Souichi,Wixon,1992-01-20
14632,Senior Engineer,Gudjon,McClurg,2001-08-01
14639,Senior Staff,Arvind,Hempstead,1994-11-08
14640,Senior Engineer,Toshimori,Kornatzky,1998-05-20
14642,Senior Engineer,Florian,Kuhnemann,1996-06-04
14645,Senior Engineer,Laurentiu,Glinert,1995-05-01
14648,Senior Staff,IEEE,Lorys,1994-11-16
14659,Senior Engineer,Sashi,Adachi,1990-03-16
14675,Senior Staff,Teunis,Angel,1988-09-25
14677,Senior Engineer,Herbert,Sifakis,1987-02-12
14683,Senior Engineer,Alois,Basart,1994-12-02
14690,Senior Engineer,Yechezkel,Bellone,1994-02-25
14693,Senior Staff,Brewster,Stranks,1992-05-04
14710,Senior Staff,Mahmut,Hainaut,1988-09-18
